DistrictCode	DistrictName	SchoolCode	SchoolName	RMRFlag
23403	North Mason School District	1680	PACE Academy (OPTIONS)	0
34003	North Thurston Public Schools	3130	Mountain View Elementary	0
11001	Pasco School District	5391	Barbara McClintock STEM Elementary	0
17403	Renton School District	3740	Talbot Hill Elementary School	1
32416	Riverside School District	4033	Riverside Elementary	0
32356	Central Valley School District	2892	Broadway Elementary	0
03053	Finley School District	4031	Finley Middle School	0
31201	Snohomish School District	4184	Seattle Hill Elementary	0
34002	Yelm School District	5052	Ridgeline Middle School	0
31201	Snohomish School District	1778	Home School	0
03017	Kennewick School District	3369	Vista Elementary School	0
05121	Port Angeles School District	1897	Special Education	0
27010	Tacoma School District	2941	Mann	0
17905	Summit Public School: Atlas	5469	Summit Public School: Atlas	1
31016	Arlington School District	2523	Arlington High School	0
18303	Bainbridge Island School District	3043	Capt. Charles Wilkes Elem School	0
38126	LaCrosse School District	2087	Lacrosse Elementary School	0
17414	Lake Washington School District	3747	Sandburg Elementary	0
33211	Northport School District	2958	Northport High School	0
31015	Edmonds School District	3409	Cedar Valley Community School	0
32081	Spokane School District	1604	Alternative Tamarack School	0
17417	Northshore School District	3492	Inglemoor HS	0
03116	Prosser School District	3316	Prosser Heights Elementary	0
17001	Seattle Public Schools	3869	Summit K-12	0
32358	Freeman School District	4593	Freeman Middle School	0
01147	Othello School District	3015	Othello High School	0
27010	Tacoma School District	2252	Manitou Park	0
17210	Federal Way Public Schools	5002	Northwest School Of Innovative Learning	1
20401	Glenwood School District	3047	Glenwood Elementary	0
03017	Kennewick School District	3472	Park Middle School	0
06112	Washougal School District	2911	Gause Elementary	0
17210	Federal Way Public Schools	3582	Valhalla Elementary School	1
31306	Lakewood School District	4576	Cougar Creek Elementary School	0
13161	Moses Lake School District	3153	Longview Elementary	0
11001	Pasco School District	5345	Rosalind Franklin STEM Elementary	0
06037	Vancouver School District	4503	Discovery Middle School	0
17415	Kent School District	5150	Birth to Age 2	1
37504	Lynden School District	5466	IMPACT Reengagement Program	0
17403	Renton School District	3521	Renton Park Elementary School	1
17001	Seattle Public Schools	3378	Graham Hill Elementary School	1
23309	Shelton School District	3241	Shelton High School	0
33115	Colville School District	2582	Aster Elementary	0
		1703		0
